epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8096,1.50853,2.98736,1.92396,0.00596,0.89286,0.27434,0.13413,1.2337,3.32747,2.07548,5.001e-05,5.001e-05,5.001e-05
2,42.9838,1.26971,2.98231,1.77571,0.00595,0.89286,0.43829,0.25791,1.05207,3.28006,1.85182,0.000115535,0.000115535,0.000115535
3,58.9553,1.25458,2.88481,1.69881,0.00596,0.89286,0.58026,0.42946,1.04034,3.2866,1.80065,0.000179739,0.000179739,0.000179739
4,74.874,1.12608,2.72835,1.64792,0.00644,0.96429,0.59662,0.36332,1.02174,3.29128,1.73922,0.000242624,0.000242624,0.000242624
5,89.4999,1.08156,2.45705,1.56571,0.00668,1,0.61396,0.38582,1.0346,3.25641,1.75315,0.000304187,0.000304187,0.000304187
6,103.754,1.11421,2.34333,1.62163,0.00626,0.92857,0.61942,0.43533,0.99742,3.17563,1.68875,0.000364431,0.000364431,0.000364431
7,118.763,1.15578,2.13976,1.59246,0.00677,1,0.5821,0.4263,0.98361,3.10473,1.68644,0.000423355,0.000423355,0.000423355
8,134.24,1.19978,2.00359,1.63232,0.00675,1,0.57039,0.39594,1.17522,3.12394,1.93855,0.000480958,0.000480958,0.000480958
9,150.214,1.2769,1.89367,1.64003,0.00671,1,0.57422,0.3871,1.23035,3.10658,2.10308,0.000537241,0.000537241,0.000537241
10,165.79,1.26792,1.72876,1.60827,0.93797,0.22086,0.58313,0.38626,1.26339,2.92077,2.22434,0.000592203,0.000592203,0.000592203
11,179.762,1.26267,1.76919,1.68892,0.96695,0.44173,0.54978,0.38499,1.17722,2.76301,2.04026,0.000645846,0.000645846,0.000645846
12,197.26,1.22997,1.63017,1.6915,0.91379,0.40625,0.5039,0.31885,1.24337,2.85218,2.29092,0.000698168,0.000698168,0.000698168
13,217.7,1.21221,1.60458,1.61851,0.82767,0.34375,0.47078,0.30431,1.2068,2.82067,2.09963,0.00074917,0.00074917,0.00074917
14,240.658,1.13305,1.43926,1.55655,0.91172,0.43726,0.53902,0.36639,1.13974,2.61877,2.06093,0.000798851,0.000798851,0.000798851
15,266.737,1.18641,1.48145,1.64814,0.55955,0.37596,0.5801,0.32495,1.21743,2.64501,2.22472,0.000847213,0.000847213,0.000847213
16,290.047,1.27199,1.54268,1.66816,0.46477,0.41263,0.56814,0.3376,1.15892,2.56979,2.1905,0.000894254,0.000894254,0.000894254
17,315.273,1.16498,1.47497,1.59723,0.46457,0.40994,0.56291,0.36281,1.17491,2.56219,2.16199,0.000939975,0.000939975,0.000939975
18,335.762,1.23552,1.51744,1.66555,0.92517,0.35563,0.58106,0.33889,1.35207,2.65358,2.31383,0.000984375,0.000984375,0.000984375
19,360.321,1.1969,1.56461,1.60116,0.56369,0.53571,0.61583,0.41758,1.13851,2.32346,2.07844,0.00102746,0.00102746,0.00102746
20,377.205,1.21777,1.39428,1.62842,0.61977,0.56227,0.60799,0.36025,1.29916,2.34396,2.09463,0.00106922,0.00106922,0.00106922
21,392.646,1.18357,1.46247,1.61558,0.41388,0.44118,0.41747,0.23831,1.54269,2.56732,2.40186,0.00110966,0.00110966,0.00110966
22,407.184,1.17924,1.41529,1.67509,0.41792,0.45089,0.44811,0.27136,1.47712,2.46896,2.34041,0.00114877,0.00114877,0.00114877
23,422.288,1.18429,1.38086,1.60388,0.41591,0.58482,0.45216,0.28613,1.44902,2.48352,2.23762,0.00118657,0.00118657,0.00118657
24,437.185,1.20921,1.43484,1.65868,0.42685,0.58036,0.52767,0.29204,1.46563,2.46728,2.27837,0.00122305,0.00122305,0.00122305
25,452.914,1.23001,1.39612,1.57899,0.39067,0.54275,0.34453,0.16556,1.79087,2.8002,2.76521,0.00125821,0.00125821,0.00125821
26,468.586,1.23409,1.56328,1.67724,0.24994,0.45536,0.28756,0.07773,1.89961,3.06165,2.8909,0.00125442,0.00125442,0.00125442
